country,year,pop,continent,lifeExp,gdpPercap
Afghanistan,1952,8425333,Asia,28.801,779.4453145
Afghanistan,1997,22227415,Asia,41.763,635.341351
Albania,1952,1282697,Europe,55.23,1601.056136
Albania,1997,3428038,Europe,72.95,3193.054604
Algeria,1952,9279525,Africa,43.077,2449.008185
Algeria,1997,29072015,Africa,69.152,4797.295051
Angola,1952,4232095,Africa,30.015,3520.610273
Angola,1997,9875024,Africa,40.963,2277.140884
Argentina,1952,17876956,Americas,62.485,5911.315053
Argentina,1997,36203463,Americas,73.275,10967.28195
Australia,1952,8691212,Oceania,69.12,10039.59564
Australia,1997,18565243,Oceania,78.83,26997.93657
Austria,1952,6927772,Europe,66.8,6137.076492
Austria,1997,8069876,Europe,77.51,29095.92066
Bahrain,1952,120447,Asia,50.939,9867.084765
Bahrain,1997,598561,Asia,73.925,20292.01679
Bangladesh,1952,46886859,Asia,37.484,684.2441716
Bangladesh,1997,123315288,Asia,59.412,972.7700352
Belgium,1952,8730405,Europe,68,8343.105127
Belgium,1997,10199787,Europe,77.53,27561.19663
Benin,1952,1738315,Africa,38.223,1062.7522
Benin,1997,6066080,Africa,54.777,1232.975292
Bolivia,1952,2883315,Americas,40.414,2677.326347
Bolivia,1997,7693188,Americas,62.05,3326.143191
Bosnia and Herzegovina,1952,2791000,Europe,53.82,973.5331948
Bosnia and Herzegovina,1997,3607000,Europe,73.244,4766.355904
Botswana,1952,442308,Africa,47.622,851.2411407
Botswana,1997,1536536,Africa,52.556,8647.142313
Brazil,1952,56602560,Americas,50.917,2108.944355
Brazil,1997,168546719,Americas,69.388,7957.980824
Bulgaria,1952,7274900,Europe,59.6,2444.286648
Bulgaria,1997,8066057,Europe,70.32,5970.38876
Burkina Faso,1952,4469979,Africa,31.975,543.2552413
Burkina Faso,1997,10352843,Africa,50.324,946.2949618
Burundi,1952,2445618,Africa,39.031,339.2964587
Burundi,1997,6121610,Africa,45.326,463.1151478
Cambodia,1952,4693836,Asia,39.417,368.4692856
Cambodia,1997,11782962,Asia,56.534,734.28517
Cameroon,1952,5009067,Africa,38.523,1172.667655
Cameroon,1997,14195809,Africa,52.199,1694.337469
Canada,1952,14785584,Americas,68.75,11367.16112
Canada,1997,30305843,Americas,78.61,28954.92589
Central African Republic,1952,1291695,Africa,35.463,1071.310713
Central African Republic,1997,3696513,Africa,46.066,740.5063317
Chad,1952,2682462,Africa,38.092,1178.665927
Chad,1997,7562011,Africa,51.573,1004.961353
Chile,1952,6377619,Americas,54.745,3939.978789
Chile,1997,14599929,Americas,75.816,10118.05318
China,1952,556263527.999989,Asia,44,400.448610699994
China,1997,1230075000,Asia,70.426,2289.234136
Colombia,1952,12350771,Americas,50.643,2144.115096
Colombia,1997,37657830,Americas,70.313,6117.361746
Comoros,1952,153936,Africa,40.715,1102.990936
Comoros,1997,527982,Africa,60.66,1173.618235
Congo Dem. Rep.,1952,14100005,Africa,39.143,780.5423257
Congo Dem. Rep.,1997,47798986,Africa,42.587,312.188423
Congo Rep.,1952,854885,Africa,42.111,2125.621418
Congo Rep.,1997,2800947,Africa,52.962,3484.164376
Costa Rica,1952,926317,Americas,57.206,2627.009471
Costa Rica,1997,3518107,Americas,77.26,6677.045314
Cote d'Ivoire,1952,2977019,Africa,40.477,1388.594732
Cote d'Ivoire,1997,14625967,Africa,47.991,1786.265407
Croatia,1952,3882229,Europe,61.21,3119.23652
Croatia,1997,4444595,Europe,73.68,9875.604515
Cuba,1952,6007797,Americas,59.421,5586.53878
Cuba,1997,10983007,Americas,76.151,5431.990415
Czech Republic,1952,9125183,Europe,66.87,6876.14025
Czech Republic,1997,10300707,Europe,74.01,16048.51424
Denmark,1952,4334000,Europe,70.78,9692.385245
Denmark,1997,5283663,Europe,76.11,29804.34567
Djibouti,1952,63149,Africa,34.812,2669.529475
Djibouti,1997,417908,Africa,53.157,1895.016984
Dominican Republic,1952,2491346,Americas,45.928,1397.717137
Dominican Republic,1997,7992357,Americas,69.957,3614.101285
Ecuador,1952,3548753,Americas,48.357,3522.110717
Ecuador,1997,11911819,Americas,72.312,7429.455877
Egypt,1952,22223309,Africa,41.893,1418.822445
Egypt,1997,66134291,Africa,67.217,4173.181797
El Salvador,1952,2042865,Americas,45.262,3048.3029
El Salvador,1997,5783439,Americas,69.535,5154.825496
Equatorial Guinea,1952,216964,Africa,34.482,375.6431231
Equatorial Guinea,1997,439971,Africa,48.245,2814.480755
Eritrea,1952,1438760,Africa,35.928,328.9405571
Eritrea,1997,4058319,Africa,53.378,913.47079
Ethiopia,1952,20860941,Africa,34.078,362.1462796
Ethiopia,1997,59861301,Africa,49.402,515.8894013
Finland,1952,4090500,Europe,66.55,6424.519071
Finland,1997,5134406,Europe,77.13,23723.9502
France,1952,42459667,Europe,67.41,7029.809327
France,1997,58623428,Europe,78.64,25889.78487
Gabon,1952,420702,Africa,37.003,4293.476475
Gabon,1997,1126189,Africa,60.461,14722.84188
Gambia,1952,284320,Africa,30,485.2306591
Gambia,1997,1235767,Africa,55.861,653.7301704
Germany,1952,69145952,Europe,67.5,7144.114393
Germany,1997,82011073,Europe,77.34,27788.88416
Ghana,1952,5581001,Africa,43.149,911.2989371
Ghana,1997,18418288,Africa,58.556,1005.245812
Greece,1952,7733250,Europe,65.86,3530.690067
Greece,1997,10502372,Europe,77.869,18747.69814
Guatemala,1952,3146381,Americas,42.023,2428.237769
Guatemala,1997,9803875,Americas,66.322,4684.313807
Guinea,1952,2664249,Africa,33.609,510.1964923
Guinea,1997,8048834,Africa,51.455,869.4497668
Guinea-Bissau,1952,580653,Africa,32.5,299.850319
Guinea-Bissau,1997,1193708,Africa,44.873,796.6644681
Haiti,1952,3201488,Americas,37.579,1840.366939
Haiti,1997,6913545,Americas,56.671,1341.726931
Honduras,1952,1517453,Americas,41.912,2194.926204
Honduras,1997,5867957,Americas,67.659,3160.454906
Hong Kong China,1952,2125900,Asia,60.96,3054.421209
Hong Kong China,1997,6495918,Asia,80,28377.63219
Hungary,1952,9504000,Europe,64.03,5263.673816
Hungary,1997,10244684,Europe,71.04,11712.7768
Iceland,1952,147962,Europe,72.49,7267.688428
Iceland,1997,271192,Europe,78.95,28061.09966
India,1952,3.72e+08,Asia,37.373,546.5657493
India,1997,9.59e+08,Asia,61.765,1458.817442
Indonesia,1952,82052000,Asia,37.468,749.6816546
Indonesia,1997,199278000,Asia,66.041,3119.335603
Iran,1952,17272000,Asia,44.869,3035.326002
Iran,1997,63327987,Asia,68.042,8263.590301
Iraq,1952,5441766,Asia,45.32,4129.766056
Iraq,1997,20775703,Asia,58.811,3076.239795
Ireland,1952,2952156,Europe,66.91,5210.280328
Ireland,1997,3667233,Europe,76.122,24521.94713
Israel,1952,1620914,Asia,65.39,4086.522128
Israel,1997,5531387,Asia,78.269,20896.60924
Italy,1952,47666000,Europe,65.94,4931.404155
Italy,1997,57479469,Europe,78.82,24675.02446
Jamaica,1952,1426095,Americas,58.53,2898.530881
Jamaica,1997,2531311,Americas,72.262,7121.924704
Japan,1952,86459025,Asia,63.03,3216.956347
Japan,1997,125956499,Asia,80.69,28816.58499
Jordan,1952,607914,Asia,43.158,1546.907807
Jordan,1997,4526235,Asia,69.772,3645.379572
Kenya,1952,6464046,Africa,42.27,853.540919
Kenya,1997,28263827,Africa,54.407,1360.485021
Korea Dem. Rep.,1952,8865488,Asia,50.056,1088.277758
Korea Dem. Rep.,1997,21585105,Asia,67.727,1690.756814
Korea Rep.,1952,20947571,Asia,47.453,1030.592226
Korea Rep.,1997,46173816,Asia,74.647,15993.52796
Kuwait,1952,160000,Asia,55.565,108382.3529
Kuwait,1997,1765345,Asia,76.156,40300.61996
Lebanon,1952,1439529,Asia,55.928,4834.804067
Lebanon,1997,3430388,Asia,70.265,8754.96385
Lesotho,1952,748747,Africa,42.138,298.8462121
Lesotho,1997,1982823,Africa,55.558,1186.147994
Liberia,1952,863308,Africa,38.48,575.5729961
Liberia,1997,2200725,Africa,42.221,609.1739508
Libya,1952,1019729,Africa,42.723,2387.54806
Libya,1997,4759670,Africa,71.555,9467.446056
Madagascar,1952,4762912,Africa,36.681,1443.011715
Madagascar,1997,14165114,Africa,54.978,986.2958956
Malawi,1952,2917802,Africa,36.256,369.1650802
Malawi,1997,10419991,Africa,47.495,692.2758103
Malaysia,1952,6748378,Asia,48.463,1831.132894
Malaysia,1997,20476091,Asia,71.938,10132.90964
Mali,1952,3838168,Africa,33.685,452.3369807
Mali,1997,9384984,Africa,49.903,790.2579846
Mauritania,1952,1022556,Africa,40.543,743.1159097
Mauritania,1997,2444741,Africa,60.43,1483.136136
Mauritius,1952,516556,Africa,50.986,1967.955707
Mauritius,1997,1149818,Africa,70.736,7425.705295
Mexico,1952,30144317,Americas,50.789,3478.125529
Mexico,1997,95895146,Americas,73.67,9767.29753
Mongolia,1952,800663,Asia,42.244,786.5668575
Mongolia,1997,2494803,Asia,63.625,1902.2521
Montenegro,1952,413834,Europe,59.164,2647.585601
Montenegro,1997,692651,Europe,75.445,6465.613349
Morocco,1952,9939217,Africa,42.873,1688.20357
Morocco,1997,28529501,Africa,67.66,2982.101858
Mozambique,1952,6446316,Africa,31.286,468.5260381
Mozambique,1997,16603334,Africa,46.344,472.3460771
Myanmar,1952,20092996,Asia,36.319,331
Myanmar,1997,43247867,Asia,60.328,415
Namibia,1952,485831,Africa,41.725,2423.780443
Namibia,1997,1774766,Africa,58.909,3899.52426
